tweet_id,favorite_count,retweet_count
876838120628539392,18867,2925
876537666061221889,21692,4128
876484053909872640,17126,2079
876120275196170240,25551,4083
875747767867523072,22923,3754
875144289856114688,20011,4302
875097192612077568,25061,5349
875021211251597312,23318,4148
874680097055178752,25407,4079
874434818259525634,0,12769
874296783580663808,23814,3636
874057562936811520,20776,3510
874012996292530176,31199,8985
873580283840344065,22163,3465
873337748698140672,0,1393
873213775632977920,6545,1393
872967104147763200,24916,4763
872820683541237760,13498,3286
872620804844003328,18986,3217
872486979161796608,37314,8040
872122724285648897,31328,7165
871879754684805121,34341,9660
871762521631449091,18509,3079
871515927908634625,18498,3068
871166179821445120,0,5065
871102520638267392,19185,4882
871032628920680449,20861,3374
870804317367881728,30833,5478
870726314365509632,110,3
870656317836468226,11269,2306
870374049280663552,76434,23685
870308999962521604,20127,3682
870063196459192321,33510,7380
869772420881756160,39200,9043
869702957897576449,25899,5595
869596645499047938,14689,2764
869227993411051520,18778,3347
868880397819494401,60040,12820
868639477480148993,0,1832
868622495443632128,24472,4705
868552278524837888,9277,1832
867900495410671616,22327,3737
867774946302451713,31275,6543
867421006826221569,14802,2226
867072653475098625,0,106
867051520902168576,29687,7060
866720684873056260,18436,4308
866686824827068416,17760,3096
866450705531457537,112692,31589
866334964761202691,48253,12769
866094527597207552,0,7507
865718153858494464,23755,5055
865359393868664832,24440,4494
865006731092295680,25904,6952
864873206498414592,29809,7813
864279568663928832,13510,2708
864197398364647424,27682,7937
863907417377173506,19103,3735
863553081350529029,14124,3784
863471782782697472,0,2174
863432100342583297,22032,4736
863427515083354112,2030,84
863079547188785154,8147,1004
863062471531167744,7805,2174
862831371563274240,17786,4636
862722525377298433,15873,3214
862457590147678208,18925,4446
862096992088072192,68702,20909
861383897657036800,33492,9700
861288531465048066,15934,3743
861005113778896900,15517,3466
860981674716409858,0,1935
860924035999428608,0,710
860563773140209665,6963,1935
860524505164394496,22011,4802
860276583193509888,17137,3201
860184849394610176,15501,5325
860177593139703809,0,28047
859924526012018688,18277,3727
859851578198683649,14423,3208
859607811541651456,17400,1410
859196978902773760,83620,27441
859074603037188101,31511,12465
858860390427611136,0,7404
858843525470990336,14594,3170
858471635011153920,20177,4451
858107933456039936,14723,2643
857989990357356544,15027,2364
857746408056729600,31985,9746
857393404942143489,5512,1498
857263160327368704,18835,4142
857214891891077121,210,16
857062103051644929,0,154
857029823797047296,17661,3654
856543823941562368,15371,2655
856526610513747968,11167,1734
856330835276025856,0,615
856288084350160898,487,15
856282028240666624,26072,5800
855862651834028034,313,22
855860136149123072,4601,895
855857698524602368,11198,1945
855851453814013952,43243,16745
855818117272018944,25125,5020
855459453768019968,28060,7602
855245323840757760,0,5508
855138241867124737,0,39
854732716440526848,21444,5620
854482394044301312,27554,6315
854365224396361728,17831,4349
854120357044912130,30232,6934
854010172552949760,15372,2923
853760880890318849,27040,5360
853639147608842240,32760,9304
853299958564483072,14671,3305
852936405516943360,0,1853
852912242202992640,8533,1678
852672615818899456,14157,2015
852553447878664193,15438,3251
852311364735569921,31449,9278
852226086759018497,18967,6376
852189679701164033,10914,1481
851861385021730816,0,19
851591660324737024,15490,3254
851464819735769094,23078,6607
851224888060895234,19704,5394
850753642995093505,29255,8488
850380195714523136,12501,2437
850333567704068097,3296,308
850145622816686080,15559,3547
850019790995546112,19469,4571
849776966551130114,28985,7128
849668094696017920,0,4663
849412302885593088,15179,2960
849336543269576704,10911,1771
849051919805034497,40454,7961
848690551926992896,24118,4082
848324959059550208,23653,4353
848213670039564288,7819,675
848212111729840128,15615,2841
847978865427394560,0,3067
847971574464610304,0,416
847962785489326080,22520,4795
847842811428974592,5187,1240
847617282490613760,6692,389
847606175596138505,17996,3238
847251039262605312,19658,4090
847157206088847362,19020,5508
847116187444137987,20597,3008
846874817362120707,19270,3709
846514051647705089,42729,10895
846505985330044928,13557,2900
846153765933735936,30267,8537
846139713627017216,29799,9563
846042936437604353,15343,2703
845812042753855489,28036,8225
845677943972139009,24227,4562
845397057150107648,7325,1683
845306882940190720,22427,5086
845098359547420673,0,7243
844979544864018432,13127,2414
844973813909606400,14445,2994
844580511645339650,15825,2945
844223788422217728,13157,2072
843981021012017153,14638,2806
843856843873095681,20689,4372
843604394117681152,16265,2591
843235543001513987,20721,5685
842846295480000512,14743,3453
842765311967449089,6490,1205
842535590457499648,17486,3337
842163532590374912,23563,5508
842115215311396866,13489,2877
841833993020538882,0,14249
